ID,FIELD,GENOTYPE,TG_50:3,TG_52:4,TG_52:5 ,acylcarnitine_15:3,LPC_18:3 ,LPC_18:2,LPC_16:0,LPC_18:1,LPC_18:0,PC_16:0_9:0_CHO ,BMP_37:7__15:1_22:6,PG_34:5__16:1_18:4,SM_39:10__d17:3_22:7,CSH_posESI_027,MGDG_36:6__18:3_18:3,PG_36:7__18:3_18:4,DGDG_35:6__17:2_18:4,SQDG_38:5__18:3_20:3,SQDG_36:4__18:2_18:3,SQDG_34:3__16:1_18:3,DGDG_34:5__16:2_18:3,PE_36:6__18:3_18:3,MGDG_34:6__16:3_18:3,SM_39:9__d16:3_23:6,PC_36:6__18:3_18:3,MGDG_36:6__18:3_18:3,SQDG_34:2__16:0_18:3,PG_34:4__16:0_18:4,DGDG_35:5__17:2_18:3,SQDG_45:1__18:2_18:2,MGDG_36:7__18:3_18:4,MGDG_36:6__18:3_18:3,DGDG_34:4__16:1_18:3,PC_36:5_A ,DGDG_33:3__15:0_18:3,PE_36:5__18:2_18:3,DGDG_38:6__18:3_20:3,PC_34:4,DGDG_34:4__16:1_18:3,SQDG_36:2__18:0_18:3,PC_32:2,GlcCerNS_34:3__d18:2_16:1,PG_34:2__16:0_18:2,MGDG_34:4__16:1_18:3,PC_34:3,PC_36:6__18:2_18:4,SQDG_42:1__16:0_16:0,PC_36:4_A,DGDG_36:4__18:1_18:3,PG_32:1__16:0_16:1,MGDG_36:6__18:2_18:4,PC_33:2,DGDG_38:5__20:1_18:4,MGDG_38:6__18:3_20:3,MGDG_34:4__16:1_18:3,CSH_posESI_288,PC_36:4_B ,PC_32:1,DGDG_35:3__17:0_18:3,PC_38:5_A ,PG_32:0__16:0_16:0,CSH_posESI_296,DGDG_32:1__16:0_16:1,DG_36:6__18:3_18:3,DGDG_34:2__16:0_18:2,MGDG_34:3__16:0_18:3,GlcCerNS_36:3__d18:2_18:1,PC_36:3_A ,PE_34:2,PC_38:4__18:2_20:2,CSH_posESI_041,PC_36:3_B ,MGDG_38:5__20:2_18:3,PE_32:0__16:0_16:0,PC_35:2,MGDG_36:6__18:3_18:3,MGDG_35:3__17:0_18:3,SM_40:5__d16:1_24:4,PE_36:3__18:0_18:3,CSH_posESI_004,DGDG_32:0__16:0_16:0,plasmenylPC_35:2__P14:0_21:2,DG_36:5__18:2_18:3,DGDG_34:1__16:0_18:1,SM_40:4__d16:2_24:2,MGDG_34:2__16:0_18:2,PC_34:1,MGDG_36:3__18:1_18:2,DG_34:4__16:1_18:3,DGDG_36:2__18:0_18:2,PC_36:2 ,MGDG_36:3__18:0_18:3,PC_38:3 ,plasmenylPC_36:2_P14:0_22:2,DG_36:4,PC_35:1,CerNS_38:3__d18:2_20:1,GlcCerNS_38:3__d18:2_20:1,DG_36:4__18:2_18:2,MGDG_34:1__16:0_18:1,DG_34:3__16:0_18:3,PC_34:0 ,PC_36:1,PC_38:2,CSH_posESI_022,TG_58:14__19:5_19:5_20:4,TG_54:8,TG_50:5,TG_52:6,TG_50:4 ,TG_53:5 ,TG_49:2 ,TG_53:4 ,TG_54:5,TG_50:2,TG_52:3 ,TG_54:4 ,TG_54:4 ,TG_54:2,TG_56:2 ,TG_54:1 
11,METEPEC,B73,34472,528159,754240,214467,948878,3100475,104326,166463,14390,17253,25363,14636,26483,280462,20491,13421,26873,14104,974719,13274,9033,15797,31041,21094,773373,956883,2668331,1138730,12142,121946,37968,25368,24046,3173480,20114,105853,100692,49752,50384,198182,30978,55607,391710,52466,2320151,38699,1372266,2788858,214028,203444,56808,80906,19040,69233,42747,22178,15421,16122,94989,17238,146747,34406,6048,190932,705964,1219463,183744,545089,441802,65197,69990,418965,29676,42217,99358,810472,44189,24439,11520,8533,265481,20111,290425,65122,16840,150146,582682,34864,19422,99434,537287,123725,31103,732173,18786,12674,37359,318513,146146,13538,111392,7043,26457,19270,18637,22110,1127532,22056,20022,10865,10526,5535,5089,160088,169220,5222,93833,6154,1961,2274,12138
12,METEPEC,B73,63943,707204,928675,142215,1355949,2649372,80297,140594,12756,16302,13950,14708,24055,244970,14634,14716,25773,12366,799677,11697,9331,16264,40050,15150,917195,674588,2136085,1172277,9918,85655,42229,15754,30809,4553687,10649,133514,104072,56575,49126,144079,60893,49529,279187,42157,1827517,16317,1071817,3606647,199785,215093,20705,67888,14034,74053,64390,16191,20941,34344,87331,15510,111669,18198,6463,115869,522689,986858,112126,795576,467224,95340,27837,492854,22097,39788,107112,494162,39300,16300,11114,11179,231910,13220,213774,67109,12592,184248,699727,16776,13866,88610,750544,106954,37162,548868,14242,8538,24862,232632,121886,11902,98366,6595,29210,30233,21175,27180,1365273,36574,14682,14393,10523,3988,10827,206807,112443,5276,104902,9156,1375,2260,2842
13,METEPEC,B73,80092,523465,754304,231043,610879,1924777,75680,121205,12340,23488,24746,13155,34549,283260,20053,10937,33685,17502,1025594,14583,12635,17742,45766,20191,783645,1017143,2996671,1138794,16665,140037,51983,12980,58766,2977663,17393,89280,145524,54034,45919,266505,33091,63734,342802,69225,2400410,36163,1577884,2407813,344611,220068,86453,65124,23749,114274,69082,22640,16075,22182,98733,22938,138812,20632,6236,156039,1144181,1746543,152822,481049,379349,66868,49101,487475,36901,4257,93511,686815,60672,27408,10835,19008,315382,19308,245158,104413,18636,324530,604811,64056,21384,165028,580188,201300,35319,756151,9855,9296,33795,319388,89138,22244,99757,7817,29495,13147,19116,17189,954393,15268,16054,8933,8387,5742,8183,142913,234172,9275,92841,9630,1859,6582,12554
14,METEPEC,B73,37796,500471,713288,355860,663295,3563108,144034,275456,24632,23176,18552,25521,26960,413813,16257,19159,31931,15493,1153082,18651,8040,8187,30465,27450,369353,1320661,3472033,1329087,11304,153611,44463,22798,40626,2575007,22253,61372,113863,50957,53520,209720,24163,89471,510165,69537,2013620,49582,1468609,2126188,234004,272149,57906,93901,21767,61356,40183,27409,22682,16202,81204,20086,238075,50746,8663,218851,719022,660195,292273,382190,313364,48563,97966,360169,36566,74952,90283,799237,44089,31714,10442,7896,317421,28536,230336,70297,18011,155744,528982,30902,22036,115211,428235,129842,24979,1060360,11526,12279,53628,437458,94114,15166,100288,5900,26513,16709,16638,23146,865790,28206,24120,11460,8838,8424,7057,137177,217280,8627,94708,9743,2768,4643,16750
15,METEPEC,B73,105809,711271,716154,517275,1183994,4365860,175932,282968,15505,14424,8046,12122,40753,299734,15671,18577,29097,9857,443094,14121,5509,7490,27450,20828,947841,1310517,3241211,878045,10972,76797,43643,201621,24341,3113988,5985,58692,103540,39866,41010,50944,33265,69922,241261,34954,2449562,45672,686225,2938750,193901,159709,39110,40547,6391,68553,70684,12887,19633,29473,41300,15142,47266,16344,5079,175417,588777,1477316,210679,436791,226914,68182,64972,153625,15205,65189,85676,805941,30431,13702,6166,7396,176740,6700,275220,79262,2775,149466,472941,11538,21670,92486,335038,67601,27314,792718,9792,7086,37894,364559,101852,15674,71031,7952,9898,20616,18491,40842,436949,35822,15336,19134,7236,6292,8236,198824,272759,4087,56787,6844,1858,6491,13138
16,METEPEC,B73,31360,536404,711243,344309,960109,3986034,102164,271481,16061,23588,22286,19962,30549,279299,18745,12225,27385,12992,754217,14698,8213,12045,33483,19163,713967,929521,2376971,1126802,12789,114107,30600,22149,28122,3062394,10246,101764,96865,49680,40470,166973,33912,63870,368435,51863,2296755,37505,1159422,2942411,215474,220373,29906,77685,15718,53619,38240,22295,12772,22030,67443,15166,162360,28891,6197,114471,602994,909060,187404,575343,467893,66772,50417,435066,25702,53810,101255,599041,37023,22458,13224,13172,237809,21364,310570,74392,14488,188858,640192,39770,14758,115004,621703,115977,33791,762643,16797,8188,37463,335392,156388,15079,105918,8604,32150,20767,20350,17962,1237313,45221,15471,18385,6185,2147,4660,231073,176617,5067,111244,10014,1911,2035,11631
17,METEPEC,B73,58006,901518,1098505,330465,906093,2816525,99534,157451,12781,16687,24637,12605,32196,313837,20987,12107,32628,14846,788895,12561,9870,14137,37507,20907,733352,925118,2561427,1153449,14238,122832,40480,25370,35999,2786929,10224,96194,121742,49290,51613,179037,31677,60913,353186,60955,2064281,33372,1275197,2502904,262297,225670,55026,88492,17151,67831,49993,22464,15851,20437,83871,17044,157182,28934,7137,179848,713970,1039040,145872,474299,420286,64326,30414,399846,28783,86838,83124,1123679,41868,32884,11327,14089,279236,20300,360426,93735,14811,236716,573536,39291,27257,135412,541436,129506,32493,747225,15240,11630,36146,317228,171212,18862,129934,6914,26681,18369,31727,15312,1417779,48031,13803,25436,12721,1125,9962,283098,125058,10077,147637,13157,2742,4029,12050
18,METEPEC,B73,28880,660547,769323,611053,866013,3173755,111852,270693,24332,17615,25879,21315,33346,298402,21115,14185,28403,12482,692405,13361,8594,12422,30908,20095,718767,976902,2365363,1111309,10140,126463,29841,22360,27157,2847585,10757,98931,95805,50447,41267,168164,34965,74911,385545,53414,2126588,33735,1188268,2866774,200373,223458,45068,85286,13805,47809,45248,26984,15871,23372,68720,15798,173365,41842,7018,104401,612305,867629,242289,580651,455360,67885,52601,408665,26576,63946,103965,822195,34473,24824,14055,13128,248375,26081,312750,76206,16496,183446,652373,39420,20082,115130,584942,114175,34369,966190,13619,13644,47277,436374,164495,17103,106075,8966,31718,20187,18286,18326,1402050,39893,15750,20491,9722,6020,8510,296739,178178,8732,133508,11698,2006,1438,12108
19,METEPEC,B73,62086,637144,820992,126558,617276,1549103,59375,80037,8973,11667,17736,8386,19711,177896,12492,17133,31621,16160,693646,11210,10184,30360,57315,14865,844180,566178,2196975,1298156,13720,106157,62279,28548,38158,4708902,9387,272952,133851,62727,52203,188227,83223,50357,262575,52578,2896190,34631,999751,3433367,284036,175043,72129,80833,15251,108242,100707,24843,21094,43866,92750,26332,108426,18867,9044,106189,625972,1239437,127667,727824,787318,100582,24520,578072,27705,33748,119699,411700,55973,9678,26394,11256,183013,13180,224274,85459,12864,295622,645067,60351,8942,113994,793404,161808,37474,522438,15372,9136,26670,234513,120484,14913,86566,4017,41060,23746,21270,20490,1169038,28043,9425,15916,9348,5751,10522,241444,160704,8862,119941,12377,1129,6592,7645
20,METEPEC,B73,73113,755098,918163,325712,1052746,4172853,101702,279996,21942,22486,26504,26906,41271,275364,16265,10611,23191,9706,618429,10877,6648,7578,19986,17926,589113,840115,1984385,1062479,9224,95622,20997,18607,22791,3395381,7531,83611,81820,52844,29339,113649,53473,61527,333168,50430,2316689,36835,924151,3680785,167599,210559,33878,79569,12960,43181,32498,19265,20319,27585,52631,12499,152077,23751,5026,142419,504060,691742,122218,696614,486791,97966,33129,435098,20823,52207,129100,665966,29846,15033,12740,8544,212233,17936,281124,83171,4491,145061,741277,31134,15341,99176,770253,77986,44494,680131,16226,9798,33158,293059,136314,13529,99694,8379,35548,28800,25477,11431,927852,48154,16526,20604,10474,6424,13015,266745,86942,6279,132649,11702,1728,3170,2631
