sample_id,genotype,block_number,replica_number,dev_stage,leaf_number,leaf_zone,dag,common_dev_stage,common_leaf_age,tissue_designation,developmental_stage_dap,dev_group,metabolite,intensity
D11P213B,PT,1,2,14,13,Base,57,V10+,adult,PT_13_14,58,>9,acylcarnitine_12_1,12198
D11C113C,CML312,1,1,14,13,Center,57,V10+,adult,CML312_13_14,58,>9,acylcarnitine_12_1,66940
D11P113C,PT,1,1,14,13,Center,57,V10+,adult,PT_13_14,58,>9,acylcarnitine_12_1,7616
D11P213C,PT,1,2,14,13,Center,57,V10+,adult,PT_13_14,58,>9,acylcarnitine_12_1,14431
D11P113T,PT,1,1,14,13,Tip,57,V10+,adult,PT_13_14,58,>9,acylcarnitine_12_1,6738
D11P213T,PT,1,2,14,13,Tip,57,V10+,adult,PT_13_14,58,>9,acylcarnitine_12_1,24423
D11C113T,CML312,1,1,14,13,Tip,57,V10+,adult,CML312_13_14,58,>9,acylcarnitine_12_1,11220
D12P24A,PT,2,2,12,4,Along,49,V10+,adult,PT_4_12,50,>9,acylcarnitine_12_1,2637
D11B15B,B73,1,1,12,5,Base,57,V10+,adult,B73_5_12,58,>9,acylcarnitine_12_1,6274
D11B15C,B73,1,1,12,5,Center,57,V10+,adult,B73_5_12,58,>9,acylcarnitine_12_1,5180
D11B15T,B73,1,1,12,5,Tip,57,V10+,adult,B73_5_12,58,>9,acylcarnitine_12_1,8470
D12P25A,PT,2,2,12,5,Along,49,V10+,adult,PT_5_12,50,>9,acylcarnitine_12_1,5205
D11B17B,B73,1,1,12,7,Base,57,V10+,adult,B73_7_12,58,>9,acylcarnitine_12_1,10754
D11B17C,B73,1,1,12,7,Center,57,V10+,adult,B73_7_12,58,>9,acylcarnitine_12_1,8953
D11B17T,B73,1,1,12,7,Tip,57,V10+,adult,B73_7_12,58,>9,acylcarnitine_12_1,10631
D12P27A,PT,2,2,12,7,Along,49,V10+,adult,PT_7_12,50,>9,acylcarnitine_12_1,5091
D11B19B,B73,1,1,12,9,Base,57,V10+,adult,B73_9_12,58,>9,acylcarnitine_12_1,24184
D11B19C,B73,1,1,12,9,Center,57,V10+,adult,B73_9_12,58,>9,acylcarnitine_12_1,18766
D11B19T,B73,1,1,12,9,Tip,57,V10+,adult,B73_9_12,58,>9,acylcarnitine_12_1,17975
D12P29A,PT,2,2,12,9,Along,49,V10+,adult,PT_9_12,50,>9,acylcarnitine_12_1,11108
D11B111B,B73,1,1,12,11,Base,57,V10+,adult,B73_11_12,58,>9,acylcarnitine_12_1,24452
D11B111C,B73,1,1,12,11,Center,57,V10+,adult,B73_11_12,58,>9,acylcarnitine_12_1,29180
D11B111T,B73,1,1,12,11,Tip,57,V10+,adult,B73_11_12,58,>9,acylcarnitine_12_1,178990
D12P211A,PT,2,2,12,11,Along,49,V10+,adult,PT_11_12,50,>9,acylcarnitine_12_1,21213
