"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102","PC103","PC104","PC105","PC106","PC107","PC108","PC109","PC110","PC111","PC112","PC113","PC114","PC115","PC116","PC117","PC118","PC119","PC120","PC121","PC122","PC123","PC124","PC125","PC126","PC127","PC128","PC129","PC130","PC131","PC132","PC133","PC134","PC135","PC136","PC137","PC138","PC139","PC140","PC141","PC142","PC143"
"acylcarnitine_12_1",-0.0957878360896381,0.00168867400337953,0.0423036979106518,0.0619398487328653,0.0208480733191002,-0.105452375375071,0.047324227143595,-0.00416812497332915,-0.0268599986601741,-0.0562041100033911,-0.0424140814893776,0.0512698205059812,0.0669022949575947,0.0614176295141984,-0.0940342197681102,0.0967698604213852,0.0953495535659005,-0.024805493150354,-0.150025636791754,0.0894599145253424,0.0139887573850544,0.0118862030122628,-0.128314181371557,0.0484954548665828,-0.227931279455516,0.097297012431426,0.0947448650237737,-0.217270174042883,0.0427074100254242,-0.150891684722594,-0.0540380244739769,0.173276369239766,-0.0971285240258777,0.0506559855207385,-0.15231489773576,0.266279097618409,0.0792869527687776,-0.22539244072991,-0.0242570852536762,-0.0790525442189958,-0.0774574898335947,-0.259733532659941,-0.0583475358108042,-0.135748966999339,-0.0744481573676555,0.0662531377295423,0.00928468686018238,0.0526964227526891,0.0849040681186465,0.108560239241818,0.0112480344907251,0.136173996827834,0.0837273259539163,0.106809476756945,0.165136059966714,0.171838795200041,0.0833588446031487,0.0571022159300156,0.0766132196475904,-0.0650544011516285,0.129958219668703,0.0805573931974547,-0.0731856403293689,0.0376855352722246,-0.113612606438016,0.113084709607197,-0.00168402050829937,0.0634972872232339,-0.0380568839210048,0.0954804272301846,0.0999157900218934,-0.0110295856538993,-0.0876914270391531,-0.0241994362727582,-0.0398486925781426,0.0278868321787518,0.0454579313301959,-0.00678658563028924,-0.00617030109693675,-0.0325161741164836,0.10874040105019,0.076859451289086,0.0415108792989691,-0.00313974110116426,0.00904462437860108,-0.0583382759975725,0.0946567663970152,-0.115404617811939,0.0669141704802007,-0.0578580359649849,0.0303085950929084,-0.0294025341301273,-0.0710091725074046,-0.0666915145595856,-0.00558515440901054,0.0159036703123894,0.03322317753514,0.0253027843315097,0.0420663190072618,-0.0736686332900317,0.00279394086694092,0.029500510146872,-0.0139366330425182,0.0765448030875407,0.0312658722975355,-0.113098996314705,0.0425260226767423,0.0571192833500474,-0.0281557903449043,0.0511838546747836,0.0421056531931336,0.088153869860699,0.0209296384288301,-0.0371507023388269,0.0115300715361942,0.0550650815090779,-0.0860840242510476,0.000888952325127481,0.0104311025135445,0.026260994967507,-0.0525642955147863,-0.00970661134191031,-0.0350285677692937,0.0473368864300896,-0.0240414031665112,-0.0229332065821005,-0.0495291979442396,-0.027942890890069,0.00594538066169534,0.048441316921255,0.00925470764551654,0.0852575984407554,-0.0208074761302929,-0.0567150902095719,0.0751988026650637,-0.026702017292549,0.0246958451198445,0.0428679599177826,0.055663696697124,-0.0207977190000545,0.00146136397211426,-0.0103628241534896,-0.0251254345635809
"acylcarnitine_15_3",-0.1139753975655,-0.0574251851180359,0.113398109694127,0.0609772639479878,-0.0360052874956408,0.00609389531551502,0.057987029892831,0.020756888019765,-0.00751094524306806,0.0488755776673469,-0.0356157340783403,0.0333880608138709,-0.0182550001449115,0.0289544746208931,0.0733074303004935,0.0296759209599225,-0.0402131325538694,0.0232736497567925,0.0438481958622752,-0.100934485306294,0.0853148906765787,0.113262052005553,-0.0765105580419002,0.0270594533165159,0.00565964299472748,0.0168146416533571,-0.0380380651898285,0.00554142869395107,-0.0191134433086893,-0.0866668783042039,0.0353291801363117,-0.0451167554339426,-0.00160590206511675,-0.0840266965965101,-0.0280672978075049,0.0239122460461757,-0.193375127236958,0.0224676141478032,0.004734767672021,-0.0528938487814314,-0.0579514318550508,0.00580160974664683,0.0634197527140925,-0.0233507435565577,0.0317059611395863,0.0695245867443394,-0.0466441528398087,-0.0709313067271854,-0.066709904525701,-0.0282195402762249,-0.0282300819291183,0.156659232903974,-0.0269082731369097,-0.018067169785692,-0.0338137473866673,-0.234590271849395,-0.0772992830343883,-0.00538417892159358,-0.144122029892699,-0.0224640696301141,0.125341918643532,-0.0176775731850599,0.0706720783891986,0.064624720805497,-0.119746724020281,0.0869402700075592,-0.0217371535820034,0.0819013743292078,0.00490282863767204,-0.14082061439015,-0.00975157113276305,-0.0338803421562104,-0.12526614366033,0.112823274998033,0.0373115934675559,-0.0572594652885074,0.0359737265408003,-0.0169137134228072,0.0207075868378358,0.0981948613110335,0.0515478351609594,0.0725955036688856,0.151857099854547,0.106689434593623,-0.112501016928556,-0.0218970197416359,0.0260196845625091,-0.0185381903201931,0.0761881681863533,0.0847680686784754,-0.137207051594519,0.206033838626789,-0.00461051047029106,0.168157118780152,-0.018267683053748,0.0666404255188171,0.00642766334105172,0.0482971519654525,-0.168500189373435,-0.139943937997779,0.0327870187702265,0.0319295422310916,0.15064132056973,-0.165813939328207,-0.0310201125588617,-0.129689581867519,-0.0989030206964357,0.0118328579747936,0.00959115740048867,-0.0461922982376209,0.0390435977375167,0.0908399506240251,0.0248744191206286,-0.0114466643020919,0.0605232623016572,0.0751495199173407,0.0273783335687923,0.010383222480573,-0.000919963461146269,-0.0110060422326463,0.0676450765434942,-0.163817699864659,0.0353265573204672,-0.0996091568043875,-0.0698221228532441,0.0455461346690576,-0.103471531043526,-0.00247515120406351,-0.0362740024624804,-0.0679646089933399,0.0836118871791515,-0.0464248444296987,-0.0657632689984569,0.0334403563233027,-0.0528506649309553,0.0579332531716519,0.101863235325716,-0.0482763297674666,0.174081652859749,0.0267615043506452,-0.0375127642069437,-0.0129569603073795,-0.100987785704527
"BMP_37_7_15_1_22_6",-0.0801668983243197,-0.0753798049049435,0.030996560581237,0.0244717041241503,-0.0308794120644202,-0.064241466105532,0.0150912034954781,0.0466887454599524,-0.0543432828823901,-0.245902982028455,-0.0508980992330334,-0.013648847653328,-0.116361071075593,-0.0144167067658572,0.0890443059060387,0.074152119001659,-0.13731629785874,-0.115589185041588,0.0601429645948599,-0.0732803971363285,-0.003439670266084,0.166777530321953,-0.0632379225008765,0.107532913279403,-0.0531885470975343,-0.0371967685553789,-0.049104051421887,0.0454254736441939,-0.0283625989971104,-0.0192892779051257,0.139905524599058,-0.169678543357839,0.107783201475257,-0.0705947820993154,-0.0159352191126179,0.179069605571118,-0.0857137134418387,-0.0459089892246996,0.156146800396786,0.023729890442457,0.0225599786233098,0.178135116217855,0.158210810322527,-0.0774089705002034,0.026582342056961,0.0632827400267597,-0.254345429380771,0.0636202825675901,0.19329085287755,-0.0915683143827249,0.00470154721425983,-0.0281086574486282,0.0243572247202125,-0.0544632556079424,-0.0424823264099816,-0.0320622609527773,0.176452309080224,0.0314101257463494,-0.252722113921884,-0.0239200961549099,0.0447905517977882,-0.0639781646020354,-0.00128006715856943,0.0364434792285059,0.104184911456703,-0.0457310975781298,0.0263617634163407,0.143518974890782,-0.109597818389311,0.0873495552317936,0.0254210070461087,0.0919033387594413,0.0651177388702012,-0.04870343804419,0.101574368338727,-0.0556716697995904,0.0380893614860712,-0.0779160478560605,0.0586779427119976,-0.0196372072579258,0.0934238465626713,0.0694873419806332,-0.113065902339163,-0.101280325328489,0.0642333852087306,-0.0598064906318833,-0.0067697291249822,0.081323000345659,0.0246090325559743,-0.101354231874202,0.0514877828751216,-0.0478743555372727,0.0224991109031692,0.00800256822793041,0.20163539659539,-0.0286749270692274,-0.0710934141142105,-0.0261070843314141,0.0292670068186865,0.0791951145957757,-0.00562925061632792,-0.0075768390221343,-0.0272064235145103,0.0731972704366148,-0.0609208402384499,0.00901621454588509,-0.0122822673602059,0.0773251710081575,-0.0973465478928828,0.0702035455054948,-0.0530655918616373,0.0416097416207415,-0.0863743499093287,-0.0130393764585942,0.0471824585296048,-0.0327572676862297,0.000237838482543448,-0.0205385663248124,0.0619774833118628,-0.00462711798628618,-0.00911066433960956,-0.0538223317781187,-0.0533782650834701,0.0795286066975813,0.0766332980543424,-0.0807438189450028,-0.0129560553612302,-0.0257034843173469,-0.0665795982334878,0.00152514773469876,-0.0432226164077732,0.0305977940289479,0.0205671238399882,-0.0337354188482293,0.0724984824695411,-0.0987797661174105,0.0243746998678913,-0.00291362049383974,0.0164870769620016,0.0240648990707976,-0.0680440854506398,0.0497498896716257,-0.0679547426872383
"CE_20_3",0.110546417605169,0.0729080740565862,-0.00604360015161504,0.0394654090657533,-0.0709623673172608,0.0183748507852242,0.195096789501669,0.0243424015480415,0.00853414723172073,-0.0165838721600919,0.0362883922746019,-0.085094288177424,0.0412357947473686,0.047722204784067,0.0291057529828232,-0.0489781717754704,-0.0155181332207405,-0.0262828693330676,0.00649235236748578,0.05958747696639,0.00421142492425661,-0.0947913207989342,-0.0339762433310439,0.0545677143228824,0.00118013802324966,0.0400177046048735,-0.00521880954770537,-0.0562316048313668,-0.140278504920568,-0.0112922895825284,-0.0109546552818589,0.0107746644066988,-0.0624233346966845,-0.0347089369061396,-0.0126051966655226,0.00417394951940818,0.0180156438656645,-0.0823594644106727,0.087798718899507,0.0360955162101529,-0.0198909133394042,-0.10285060870212,-0.00197926604677495,-0.00724394649736457,0.166002146278082,-0.0239688321020725,0.0161554578060847,0.0130492584227244,-0.124243602517677,0.0558622610887566,0.110383127948461,-0.10127685774501,-0.00403941375336081,-0.0194153184611094,0.0394723619270316,0.0253989846541108,0.0354461795638613,0.0853439237364192,-0.108471342062994,0.00422583418579451,0.136806501444424,0.112936178002125,0.00926194101598266,-0.009870595189719,0.0895380737548351,-0.188452519811783,-0.0945861288950232,-0.0819131304905559,0.171713720622341,0.0347515666840457,0.0783560137074654,0.16058067395442,-0.084610560702601,0.112554451333868,-0.0659363305037813,-0.108744477764314,-0.14863550926944,-0.118763911216614,0.164119542287361,-0.148446677706728,0.00760936040547919,-0.0093632695285039,0.00884869427385852,-0.0521235457897104,-0.0192456630945202,0.121967223915208,0.0902666529225667,0.077445335186818,0.0508380976115861,0.0527295773351717,0.0356142236522515,0.117452609956723,-0.10578865149731,0.0424088761182146,0.110596305142765,0.121688183284437,-0.127410493030832,-1.6674746979532e-05,0.143164421541634,0.0376568237790713,-0.0282960067124743,0.135499084074525,0.0579844816662476,-0.0517425913897462,-0.106661644342743,0.0281390977357469,0.0403208382121795,-0.109184429832628,-0.0221455293549871,-0.00468867683289653,-0.0804482045277853,0.0138386064962422,-0.0201570701937833,-0.088282347854456,0.0523276048900153,-0.0146245006030308,-0.0519683331990889,0.0509378979354625,0.0587154109487731,0.0112809355746368,0.138084246459155,0.119885372551544,0.0139496039758538,-0.0257592763942864,-0.0396878754847826,-0.143893378689528,0.0212812931953877,-0.159197638210536,0.129704460827012,-0.0114109953377416,0.0160528581733618,-0.0143573338755119,-0.0102210978448394,0.0108235853276255,-0.00244615126616717,0.053020223692769,0.0370413803753759,-0.106078200506524,0.021029524384881,0.00735273707386237,-0.0373417404260431,0.117880395576049,-0.0298851650518463
"CerNS_36_3_d18_2_18_1",-0.00889021284995002,-0.0166589568861396,0.10914045198771,0.0592223522467958,-0.176545121687573,0.119885151266711,0.0670598016330946,-0.0446584950034161,0.00304000671771382,0.00854244662112391,0.0408588402538108,0.0554302020347463,0.070523404401848,-0.0405814530828429,-0.0785822313564677,-0.109639516296699,-0.088146745131556,0.0338816288025527,0.119120315038457,-0.0147994375803773,0.0514940026837769,-0.00380430935113656,-0.0463817100469945,0.0654866460677456,-0.0997887079863487,-0.00883902876985995,0.039993437314347,-0.0236172769303197,-0.10947008162231,0.0814018959597123,0.0884718578029564,0.00680315973507924,0.000530964770310404,0.00664367686055525,-0.0242878113381998,0.0264121917738311,-0.0304941437781586,-0.00622437127462052,-0.169413110979701,-0.0995293169335365,-0.163773566360906,0.0566302903790764,-0.0291424488880538,0.0795996778037092,0.0309706836634647,-0.00719708819455699,0.00557664741026857,-0.0657997467884308,-0.0639496486003476,0.000408492878109717,-0.100209249531391,0.0182970037183938,0.150105503659424,0.0924174377747615,-0.069394640469373,-0.0669826359949407,-0.134940194204441,-0.0981946022444183,0.0888384959425425,0.119003171911296,0.151293294981698,0.011905410484246,0.130202979515285,-0.169938591782734,0.0975058805395315,0.105421184168582,-0.0480611077982474,0.0742195303088341,-0.116859577175225,0.0217796810826165,0.124131156685569,0.0701964320591421,0.0213980502394948,0.000590451970894844,-0.0922899192772247,0.0505327605332227,0.0263533374693288,0.0239908772659456,-0.15445596825362,-0.0472630315514721,0.0928451335308949,-0.0550897990011801,-0.0346691092586806,-0.0792089640873268,0.0779007206096601,-0.00935424861232005,0.0215474092533545,-0.0285082493467077,0.207246958553049,0.0434272520176471,-0.107701611297913,-0.0476620742951706,-0.00239180825168302,0.04460857000059,0.023908472254761,0.0136210371768519,0.0930037475005734,-0.0271397152943703,0.00594120086355925,0.0710326376539998,0.0966841108420238,0.0488317071557293,0.00753692931466114,-0.134716039398316,-0.0632142192831454,0.00400401273174647,0.00703107427277625,0.17708009581064,-0.0271823417310585,-0.0323158456181033,-0.227868689854808,0.0288066574835009,-0.0290853434945985,-0.0264502265874233,-0.0173123931791811,0.0281954952745752,0.0689713801984937,-0.0427008015926937,0.0105775967594477,-0.0548176980265336,0.032196507061307,0.14201706284924,-0.123642822136168,0.087965243885883,0.112431776049837,0.0116288488944855,0.0618138243542055,0.0328817877774516,0.0518778826712315,0.0160634141137604,0.0906281817012519,0.0844733889321697,0.0633524349171195,0.0919643438776913,0.0320035773272012,-0.00669041237037369,-0.0360834657306742,-0.0463849297923933,-0.0302654511028405,0.047311286050831,0.0423292505682035,-0.0506950593301165,0.000511270944299774
"CerNS_38_3_d18_2_20_1",-0.0509104050286026,-0.0429599190644327,0.106523112262058,0.0136051473289397,-0.166638630937916,0.0915625361723841,0.0531960110501253,-0.0250943898199672,-0.0227531341692277,-0.0379644629086509,-0.036959645384618,0.0290300169591798,0.074025960001306,-0.0023503836426145,-0.0399556297404654,0.0757863218349505,-0.047685165295012,0.0811583524552515,0.0442462799786927,-0.0967927503656452,0.000400912875987375,0.113349519114762,0.000545835601086616,-0.0309553795888506,0.0369557502442586,-0.0559780398440732,-0.00484995966753414,-0.0536789840711002,-0.0533165166199891,-0.00142354638143498,0.134646262874096,0.0689118161706369,-0.0306822707231808,0.0802965564028623,-0.109500696293532,-0.0605903811988861,0.0546536245390158,0.164825252890366,0.102988030060014,-0.0138900899758087,0.144453167150204,0.00315589620731825,0.196157358146683,0.0839202809063987,0.0522657121031608,0.116833193229659,0.0721276717407085,-0.13046898457385,0.0722493240897928,0.179807366944399,0.113258208847076,0.0255894777687321,-0.229466780685375,-0.129965924040573,0.0861963387060267,0.178739527316316,-0.168995446482226,-0.0719850212200465,0.198715653686669,0.160656701426551,0.021280656014513,-0.110527189249653,-0.0942367868595465,0.078981385191524,-0.173481874912669,-0.0644319434776915,-0.0543100661711942,-0.0157633398789141,-0.0175948829756045,0.119976384552413,-0.166022586094644,-0.0053018657730788,-0.0192153738414684,0.00643672864647431,0.0187834394621605,-0.0408211759813968,0.066608453453279,-0.0630228525696486,0.0942057914196992,0.080818161537455,-0.0198629253474454,0.195460590262756,-0.181423033957561,-0.0722436723794795,-0.0433653750325759,0.0223640499540493,-0.0209858111445104,-0.0209498592470468,0.158153849701673,-0.00222139054098718,0.0223912051886065,-0.0247065256847347,-0.0194209038061241,-0.00816194906189232,0.0878612850068324,-0.0896200985521722,0.135290674520022,-0.0533782460149954,0.0977523903146502,0.0349885702109113,0.0563440358161891,0.0928147789096602,-0.00555623929375636,-0.0619475038941011,0.0125026484347828,-0.0338184045481701,-0.00784103598465975,0.0271653577773116,-0.0268766492613581,-0.0892932552198632,0.0408010181757957,-0.0424292562921793,-0.0403141578491572,-0.04237382626788,0.0100568068338974,0.0338020902173717,-0.102089016057079,-0.0959179130737604,0.0148269040487705,-0.0337589668204716,0.100061729414255,0.0281156221835488,0.0716484352536473,-0.0691360982430253,0.0448687021939399,0.00331084206785389,-0.00610483470213976,-0.0264818420001906,0.0400530928336317,0.0276498556450217,-0.0120209595427837,-0.0133732849654358,-0.008428759819296,0.0164488759328855,-0.0517248349250941,-0.0776968475603712,-0.0589579819621605,0.0296791157490104,-0.0265613323286892,0.00746154874980146,-0.0271974429238418,0.0124446075982082,0.0582426910805767
"DG_36_4",-0.128491460536039,-0.0116966740728568,0.0866286347201154,-0.0272986198931227,-0.004098588728153,0.100183455004145,0.0152241167730912,0.024390123399608,-0.0114858234343222,0.0480762884865752,0.0332122688757533,-0.0274339371508852,0.00714495861307772,-0.0201666779431617,0.107993250534465,-0.0976318382865127,0.0526435243674788,0.095604860898094,-0.0604692279396243,0.00923274439987918,-0.101694301896753,-0.0795000247461124,0.0414654502396511,-0.0127031174143746,-0.0777578846819692,0.020468083403925,0.0271631393012498,0.0481851398914789,-0.0169359675455933,-0.0295937340128793,0.0933420707365882,-0.10940498181619,-0.0580036553932625,-0.0339549479560151,-0.014137212868694,0.0447175059241954,0.2015590261075,-0.00281215069963874,-0.0571243170268734,-0.063602866752209,-0.0680268930544543,-0.0428792915699564,0.0948330076222648,-0.0952518503318294,0.109827821093235,0.0158294538069594,0.0517121074084804,-0.0986763744321016,0.120173749416987,-0.185499545760541,0.0581116743469159,0.111316954303021,0.0449263412184162,-0.0662394271363091,-0.142613268999223,-0.0635804991574608,0.0400409723067445,-0.0363135195790635,-0.101462770384519,-0.063997996885057,-0.131030690707882,0.0542680719856659,-0.121371731569121,0.0407198411909307,0.0322175697334551,0.114576391199462,-0.0933144139221552,-0.0578561298276363,0.0193941530962329,-0.0717128434704545,0.0749628361415109,-0.115089801128545,-0.0473858492450746,-0.0188344860416674,0.0590966623076269,0.103810326085798,0.0408980038588998,0.0462614540754193,0.131949129481209,-0.00518173644318262,-0.112059280462392,-0.0731040966114834,-0.128707248037803,0.0343116351733204,0.057822495966289,-0.0426642967076701,-0.106044397415362,-0.0788783119785555,0.0829064558479561,0.139194694149206,-0.0271680031438335,0.00352588737022694,0.118135362602978,-0.100233479276773,-0.0229877135048614,-0.0363691213031919,0.0508652855865366,-0.0297102088504338,0.205720449132845,-0.0894618466079541,-0.0316898829391648,0.0218238632588092,0.103963546885774,0.0226371499670572,0.0698158882546968,0.109366592946433,-0.0570625070687354,0.126911516122095,0.0278061813152405,-0.106289428975796,0.0458636833188551,0.0323101257784737,-0.0675848129423674,-0.08230933016925,0.0207175330650068,0.00841943127125687,-0.0462266642066573,-0.0202824280334603,-0.00433954218215371,-0.0249220205585045,-0.0342707129965199,-0.0495506626571189,-0.036459632586799,0.0202005164602219,0.0964392325135637,-0.0119811923580033,-0.0221457372110027,-0.0631754999908251,0.0307776089949781,0.0418184552079697,0.0359488434068318,-0.0417683448556249,-0.065873485060526,-0.151585041642262,0.123857729379392,-0.0214446457984731,0.0803726457677938,-0.186423086624201,0.00451602752711341,-0.143330121875662,0.0394779677182831,-0.0223818733510373,0.133813732943777
"DG_34_2_16_0_18_2",-0.104866387186206,0.036867643440504,0.0383729762192483,-0.0199634727779994,-0.0358413556517084,0.100565578706792,0.0282620633611647,-0.0188633350523335,-0.000728024527166748,0.0146044805919915,0.166399035133785,-0.024192100257223,-0.0114053057810511,0.0107498550547681,0.119397978753229,0.100092363624727,0.0598334652806695,0.025284218547006,-0.1537098745734,-0.0097678880637252,0.0360047745093764,-0.0439916547322702,0.178625393265008,-0.0792409646656185,0.18470671060449,0.135032299297007,0.00178705812903932,-0.00397555547672546,0.121866244503566,0.0640340494255773,-0.137414662190184,0.060621814090146,0.284555863629927,0.087231922733515,-0.00676289920936832,0.183975143291407,-0.0407517231317218,-0.041059179904676,0.168437016438475,-0.165899904380894,-0.0322546875283444,0.0499660320780277,-0.0249205097227129,0.0141729133439673,0.0263177905037555,0.1428414910593,0.139198708233133,0.193238531235966,0.0783912702219055,0.0659429746876186,-0.0149863000972525,-0.134290812205328,0.0087032298885364,-0.139529355199846,-0.046108468141682,-0.117073039259557,-0.171653786098702,-0.136185469867863,0.0255015315165466,0.0343913668181793,0.0415799544306177,-0.0568722461827497,-0.021809718465892,-0.0588490122217554,-0.0594780682730203,-0.0221360471911609,0.0681591331592939,-0.0114986296137896,-0.0900198852443559,-0.0205694776792462,0.0281394500435295,0.0896079978042367,0.0302138774398917,0.042757246192178,0.00863994401702081,-0.0916098853712423,-0.146318781301117,0.122336476585668,-0.0501174904638486,-0.165038092739942,-0.00630959421132844,0.0524646080331896,0.0103600645573698,-0.0472482774469621,0.118336111084407,0.0348805520726477,-0.088590408967016,-0.0578326980085361,0.0447686054351278,0.0824607460036293,0.0911923139703654,-0.00777494831953717,-0.145751986794557,0.0791607406653163,0.0418761044735946,-0.015373484923146,-0.0985948997405544,0.0853142970869724,0.0520457895418254,0.0227711511050174,-0.106140388630732,-0.002864197149382,0.0548319642899137,0.0169156615976297,-0.0489983782723282,-0.0539614731552279,-0.00716901285951617,0.0372203205020489,0.0293136297307887,-0.0361196518758486,-0.0178813927214731,0.0705634232844288,0.0407018320710772,-0.00426939196405372,0.0535352972122826,-0.0210499512297026,-0.0513021837972292,0.0135575812976863,-0.0472804949280259,-0.0320240157749442,-0.104677307430014,-0.0866324737048734,-0.0913094562345572,-0.0111921441297767,-0.0210539848316218,-0.0546209120099685,-0.106736686844284,0.00814446783164401,0.00424270761085855,0.0456149806544591,0.00264768886192159,0.0722771396928177,-0.0185189551691924,-0.00812542545417926,0.0179067284046372,0.0578096822965166,-0.0581258895460322,-0.0606252404985739,0.0409057963972062,-0.109073131227475,0.0522263203102131,0.00156938412532598,0.0809492082628746
"DG_34_3_16_0_18_3",0.0729030446671541,0.0440762530837187,-0.0535410105129012,0.0292837215638786,-0.0677763343339945,0.0383025727226124,0.256247526841056,0.00217208227291765,-0.0628870532782716,-0.025857165421212,0.0640439714749019,-0.0373889840453016,0.0371656342036955,0.0639313142114146,0.0868976354725729,-0.0010036151302216,-0.0557724684625537,0.091839845558712,-0.118233970915503,0.0616245165013162,-0.0446306283339282,-0.070941237217183,-0.0138690806956095,-0.0763183888870093,-0.091307052322543,-0.00408135387026963,-0.0463351419274885,0.00197014124905168,-0.056336550613082,0.0285073893747591,0.0123745528822047,-0.0370310446576215,0.00828723853091519,-0.0318130938817386,0.0727341893104117,0.0181321843939391,0.0823921441133819,0.0331615721514881,0.135554359202252,0.0337632108403523,-0.0235559781111354,-0.0671568893530869,0.0278305600418278,-0.011616711955798,0.0491423774222113,-0.0885248220950071,-0.0952606879596048,-0.0195587609768012,0.0640751955692787,0.00417250776496327,0.0123009160088529,0.138556147766001,-0.00545329146043073,-0.0542252558074431,-0.00753607195317037,0.0248631371220606,-0.103665855423154,0.13845965323287,-0.132475053724514,-0.190210224307024,0.0210260869193757,0.0736953772306111,-0.091299859434272,-0.091985877137056,-0.0549280664207881,-0.0300594229957349,-0.144875941613745,0.140816679238843,-0.102329909348902,0.0096901062369317,0.0222278475751893,-0.0465197336563446,0.0775927081846305,-0.0514719449665291,-0.129282023366759,-0.0581646302708558,-0.0131029415764922,0.0799042206336265,0.0480185875256801,-0.0460250145452152,-0.107460642124413,0.0112046754873578,-0.0478299514826007,0.0720617816014616,0.0428591422015516,0.0864941490833347,-0.0160479009564513,-0.0372720051690968,-0.0791688028537649,0.0444193325327674,-0.0503884994405245,-0.00382389308961488,-0.0730869030767375,0.110700627641351,-0.12777950991574,-0.0601064522194157,0.00522441943307812,-0.0431236188652599,0.0479218034124049,0.137157562578876,0.145910119792777,-0.0265830101388574,-0.0353024165245178,-0.015358537099298,0.0466697695923639,-0.142023982367245,-0.00963462585692127,0.0203494817485829,0.151002603804986,0.0200033273886746,-0.0621167561843971,-0.318884604277609,0.0187061525838793,0.0204559551532209,-0.0231513641933804,0.000409457532248157,0.00490152592700368,-0.0755238456907441,-0.119072653575747,-0.0757130842712869,-0.00470740217740267,0.00316634827626098,-0.079349266017819,-0.00438307629113533,0.15236572392721,0.058065073041674,-0.00523794942214125,-0.0347731131912447,-0.134097130559883,-0.0597261505865246,-0.0300639994349847,0.0523499987467504,0.0398162457421457,0.062496476067188,-0.00555393743860722,0.015776509754338,0.00681022188161789,0.101243670810945,0.140980139415838,-0.0133633042017588,-0.0596486658987608,-0.17033784481792,-0.092098689456855
"DG_34_4_16_1_18_3",-0.038922666699803,0.041278130418685,-0.0884536203219503,-0.071943953376692,-0.0859909865612862,-0.0905867435518471,0.0729910886435529,-0.0230519685669365,-0.109203166414326,-0.0718333834046102,0.114112440545534,0.164424998231676,0.0452292698548006,0.0228542373398998,-0.0515875976680417,0.0955763526825847,-0.0285796178138085,-0.0459189884258294,-0.101893147528324,-0.0189448952645979,0.0859438445163156,0.0351948492162767,0.0510059480222955,0.0528802102381154,-0.00124825785794659,0.0630235546643068,-0.0467900763196032,0.139740147298097,0.26124321130815,0.0241110584924267,-0.150473573613925,-0.0661117330293988,0.109284963017282,-0.016325101695546,0.0631562688763956,-0.160391467865607,-0.101749765150059,0.0061034616690898,-0.0727837534618178,-0.132011872773887,0.185084588563478,0.0498239272419725,-0.0569774573069798,0.057939698303174,0.241786466177105,0.158947052049335,-0.0984656161610301,-0.0284296813524812,0.0872748700775795,0.073367449957036,0.116414008027279,0.153961688516616,0.18841278359849,0.173188657047005,-0.207167461070768,0.0237881818811849,-0.0557861004433743,0.106727811376311,0.145424371209977,-0.0783250457241843,0.23494582819415,0.0823706449595505,-0.0798144484905596,0.0463118226404558,0.0434213065010746,0.0016047748725254,0.0694406508962415,0.0131600882187558,0.0237861412734111,0.0231573624499059,0.0608735270694213,-0.0348823149381314,-0.0177691981664951,0.0506144829678181,-0.104907030177684,0.13766596879345,-0.00971311979215577,-0.0938741285614704,0.125854134286705,0.094559212922816,-0.134974865203629,0.0164126307078891,-0.0792204240658333,0.00308321769449047,-0.043049570641534,0.0797315539663163,-0.0272677648514201,0.0225850486558757,-0.0510838124143958,-0.0545200022290264,0.0585465090309669,-0.0270153399458451,0.0152054242255528,-0.109043009020323,-0.0531994502115996,-0.0309198861392278,-0.0117153961930854,-0.0962990377922184,-0.0766471207122836,-0.0136940030815913,0.0743240923896649,0.0450733799902767,0.0186333911789323,-0.0680972122618995,0.0765696071306748,-0.0335585770322655,-0.0111102040739617,8.07951454728961e-05,0.0200184073084401,-0.000791487958835737,-0.0461167803734514,0.0884042616355324,-0.0359290976230229,0.016385115884932,0.0146203987729967,-0.07208410316974,0.0150377577609292,0.0552911293589159,0.0398675861955173,-0.028709410213669,0.0549745527206438,0.00202516436299665,0.00366661930464196,-0.0427001576008103,-0.0405574603182307,0.0565578691548334,0.0115478680388957,0.035485287376623,0.0489736275949228,0.0654430643177147,-0.00956908833641171,-0.0318656630059027,-0.0453601318065694,-0.00331842491580876,0.00897457354312566,-0.0591517506724502,0.025755183313027,-0.0441094669926711,-0.0130270853831165,0.0156505803716707,-0.00258617605235458,0.00197346623854934,-0.0391711261459871
