ID,GENOTYPE,acylcarnitine_15_3,BMP_37_7_15_1_22_6,CerNS_38_3_d18_2_20_1,CSH_posESI_004,CSH_posESI_027,CSH_posESI_041,CSH_posESI_288,CSH_posESI_296,DG_34_3_16_0_18_3,DG_34_4_16_1_18_3,DG_36_4,DG_36_4_18_2_18_2,DG_36_5_18_2_18_3,DG_36_6_18_3_18_3,DGDG_32_0_16_0_16_0,DGDG_32_1_16_0_16_1,DGDG_33_3_15_0_18_3,DGDG_34_1_16_0_18_1,DGDG_34_2_16_0_18_2,DGDG_34_4_16_1_18_3,DGDG_34_5_16_2_18_3,DGDG_35_3_17_0_18_3,DGDG_35_5_17_2_18_3,DGDG_35_6_17_2_18_4,DGDG_36_2_18_0_18_2,DGDG_36_4_18_1_18_3,DGDG_38_5_20_1_18_4,DGDG_38_6_18_3_20_3,GlcCerNS_34_3_d18_2_16_1,GlcCerNS_36_3_d18_2_18_1,GlcCerNS_38_3_d18_2_20_1,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3 ,MGDG_34_1_16_0_18_1,MGDG_34_2_16_0_18_2,MGDG_34_3_16_0_18_3,MGDG_34_4_16_1_18_3,MGDG_34_6_16_3_18_3,MGDG_35_3_17_0_18_3,MGDG_36_3_18_0_18_3,MGDG_36_3_18_1_18_2,MGDG_36_6_18_2_18_4,MGDG_36_6_18_3_18_3,MGDG_36_7_18_3_18_4,MGDG_38_5_20_2_18_3,MGDG_38_6_18_3_20_3,PC_16_0_9_0_CHO ,PC_32_1,PC_32_2,PC_33_2,PC_34_0 ,PC_34_1,PC_34_3,PC_34_4,PC_35_1,PC_35_2,PC_36_1,PC_36_2 ,PC_36_3_A ,PC_36_3_B ,PC_36_4_A,PC_36_4_B ,PC_36_5_A ,PC_36_6_18_2_18_4,PC_36_6_18_3_18_3,PC_38_2,PC_38_3 ,PC_38_4_18_2_20_2,PC_38_5_A ,PE_32_0_16_0_16_0,PE_34_2,PE_36_3_18_0_18_3,PE_36_5_18_2_18_3,PE_36_6_18_3_18_3,PG_32_0_16_0_16_0,PG_32_1_16_0_16_1,PG_34_2_16_0_18_2,PG_34_4_16_0_18_4,PG_34_5_16_1_18_4,PG_36_7_18_3_18_4,plasmenylPC_35_2_P14_0_21_2,plasmenylPC_36_2_P14_0_22_2,SM_39_10_d17_3_22_7,SM_39_9_d16_3_23_6,SM_40_4_d16_2_24_2,SM_40_5_d16_1_24_4,SQDG_34_2_16_0_18_3,SQDG_34_3_16_1_18_3,SQDG_36_2_18_0_18_3,SQDG_36_4_18_2_18_3,SQDG_38_5_18_3_20_3,SQDG_42_1_16_0_16_0,SQDG_45_1_18_2_18_2,TG_49_2 ,TG_50_2,TG_50_3,TG_50_4 ,TG_50_5,TG_52_3 ,TG_52_4,TG_52_5 ,TG_52_6,TG_53_4 ,TG_53_5 ,TG_54_1 ,TG_54_2,TG_54_4 ,TG_54_5,TG_54_8,TG_56_2 ,TG_58_14_19_5_19_5_20_4,TG_54_4 ,TG_54_4 ,TG_54_5,TG_54_8,TG_56_2 ,TG_58_14_19_5_19_5_20_4
4,B73,211994,24250,32653,5789,298808,60666,20672,21542,119441,16960,16243,128163,294251,169857,278753,6542,11998,83814,921228,34065,8884,81881,12705,27202,117342,272572,20052,110025,55915,164366,280776,55526,10894,127992,2783955,945018,12483,218809,1284819,45140,31787,43427,128444,42869,64089,728618,42881,30613,80220,17209,22912,35670,45383,9807,593424,2374786,45565,9275,96481,30878,554926,546364,454028,2907917,19115,3068852,43129,803198,20399,35411,68766,15603,5914,412633,10033,92157,19030,143218,219065,372066,1070243,16608,11141,21092,611339,24830,20560,21801,39858,2712145,17761,188371,897155,13180,1504714,130370,6733,250577,80258,13857,26059,3915,665228,914281,15885,10364,9275,12829,1994,102914,181154,1282372,5743,20344,102914,9347,181154,1282372,5743,20344
5,B73,268282,23402,33392,9840,325872,61110,9579,30514,123413,19562,14941,114159,306141,223686,254314,6923,12513,90137,835572,42367,8460,58034,12643,25776,125667,215398,12192,99689,65165,122797,303070,110211,13207,268187,4191933,1249742,17038,195964,1272222,29721,25280,41199,113708,36199,47456,910131,27780,27335,63113,26562,16960,34838,65664,8434,602631,2159031,47623,11605,100707,29445,563691,542129,429371,2656683,18034,2494230,46125,578673,18847,33221,68047,14139,59566,262449,7500,44489,1575,148623,221059,348150,1293602,22759,12982,18188,697155,29379,21257,6344,24198,2664902,16793,186830,615634,14265,1221163,107953,7252,46544,78811,10602,29980,5123,624070,929579,20660,8326,8549,3035,2132,106859,168480,836169,2795,12104,106859,7367,168480,836169,2795,12104
7,B73,201146,24870,32580,11716,308222,53712,22803,20300,95822,19463,12482,105004,302117,185885,339497,9448,15105,82379,788650,44982,12910,100563,14562,35849,106370,292796,20099,143974,61500,151334,303727,75937,13713,138510,2895256,926567,16898,239114,1467260,74983,53042,51363,157983,56768,80192,621918,53553,32243,103737,28635,23641,34946,67325,8203,562038,2189810,48456,8504,85273,25822,505330,530536,404848,2575401,16460,3138801,32027,714552,16971,31274,62719,20693,25834,458595,11879,116528,17399,135248,212787,332954,1111089,12333,12985,18411,701127,33820,17294,23742,35814,2769758,17656,210518,1048331,15687,1669258,127661,5666,207905,54995,7593,15990,4491,402665,589071,8217,6321,8162,12259,1672,64788,109538,835956,5536,14695,64788,7017,109538,835956,5536,14695
12,B73,142215,13950,24862,11179,244970,27837,16191,18198,98366,13866,14242,121886,213774,115869,231910,6463,10649,67109,522689,49126,9331,87331,9918,25773,88610,199785,14034,104072,49529,112126,232632,80297,12756,140594,2649372,1355949,11902,184248,986858,64390,40050,39300,106954,16776,20705,494162,42229,22097,74053,16302,34344,60893,67888,6595,699727,1827517,56575,8538,107112,29210,750544,795576,492854,3606647,20941,4553687,16317,917195,30233,37162,95340,15510,39788,467224,11114,133514,16264,111669,215093,279187,1172277,14708,14716,13220,548868,24055,15150,12592,16300,2136085,11697,144079,799677,12366,1071817,85655,3988,112443,63943,14393,36574,5276,707204,928675,14682,10827,10523,2842,1375,104902,206807,1365273,2260,27180,104902,9156,206807,1365273,2260,27180
14,B73,355860,18552,53628,7896,413813,97966,27409,50746,100288,22036,11526,94114,230336,218851,317421,8663,22253,70297,719022,53520,8040,81204,11304,31931,115211,234004,21767,113863,89471,292273,437458,144034,24632,275456,3563108,663295,15166,155744,660195,40183,30465,44089,129842,30902,57906,799237,44463,36566,61356,23176,16202,24163,93901,5900,528982,2013620,50957,12279,90283,26513,428235,382190,360169,2126188,22682,2575007,49582,369353,16709,24979,48563,20086,74952,313364,10442,61372,8187,238075,272149,510165,1329087,25521,19159,28536,1060360,26960,27450,18011,31714,3472033,18651,209720,1153082,15493,1468609,153611,8424,217280,37796,11460,28206,8627,500471,713288,24120,7057,8838,16750,2768,94708,137177,865790,4643,23146,94708,9743,137177,865790,4643,23146
17,B73,330465,24637,36146,14089,313837,30414,22464,28934,129934,27257,15240,171212,360426,179848,279236,7137,10224,93735,713970,51613,9870,83871,14238,32628,135412,262297,17151,121742,60913,145872,317228,99534,12781,157451,2816525,906093,18862,236716,1039040,49993,37507,41868,129506,39291,55026,1123679,40480,28783,67831,16687,20437,31677,88492,6914,573536,2064281,49290,11630,83124,26681,541436,474299,399846,2502904,15851,2786929,33372,733352,18369,32493,64326,17044,86838,420286,11327,96194,14137,157182,225670,353186,1153449,12605,12107,20300,747225,32196,20907,14811,32884,2561427,12561,179037,788895,14846,1275197,122832,1125,125058,58006,25436,48031,10077,901518,1098505,13803,9962,12721,12050,2742,147637,283098,1417779,4029,15312,147637,13157,283098,1417779,4029,15312
20,B73,325712,26504,33158,8544,275364,33129,19265,23751,99694,15341,16226,136314,281124,142419,212233,5026,7531,83171,504060,29339,6648,52631,9224,23191,99176,167599,12960,81820,61527,122218,293059,101702,21942,279996,4172853,1052746,13529,145061,691742,32498,19986,29846,77986,31134,33878,665966,20997,20823,43181,22486,27585,53473,79569,8379,741277,2316689,52844,9798,129100,35548,770253,696614,435098,3680785,20319,3395381,36835,589113,28800,44494,97966,12499,52207,486791,12740,83611,7578,152077,210559,333168,1062479,26906,10611,17936,680131,41271,17926,4491,15033,1984385,10877,113649,618429,9706,924151,95622,6424,86942,73113,20604,48154,6279,755098,918163,16526,13015,10474,2631,1728,132649,266745,927852,3170,11431,132649,11702,266745,927852,3170,11431
22,B73,316604,11007,33057,5962,328535,38001,38834,35231,133795,19434,19550,170303,279301,159094,253905,5539,7646,67525,556352,39384,8798,68692,10723,26699,101927,211389,15497,95105,55118,155897,282491,97053,14882,226108,4061468,1153850,13492,176154,982973,46033,25958,30337,105073,35557,42081,702639,26888,24773,57299,18480,25024,36410,65425,7784,557776,2041526,45838,8955,88639,31394,568061,475869,349511,2737498,16944,2635990,29203,622499,20680,27147,62417,14555,52159,156560,4384,15796,3296,153944,225090,356732,1093146,20963,9916,16537,663611,36374,18745,12455,13401,2509075,12545,158786,349205,11915,1380641,109520,8146,259600,103090,28349,50753,12510,984799,1247331,19918,14641,14823,10615,1784,171257,310276,1686917,10023,20029,171257,18000,310276,1686917,10023,20029
28,CML312,114181,17244,51486,17079,386627,90701,19668,21826,133278,16372,6853,51057,150467,176627,352952,13896,22571,125080,1123570,47224,0,106829,8327,22478,147075,174230,17808,80985,111120,253041,443119,125606,32351,153429,1149912,507332,32435,312692,1312788,53388,23058,57487,135505,38995,27199,401593,34473,30440,43431,30164,25569,32199,75287,13267,750347,3827655,52784,15294,135022,41053,598789,542995,674780,2228911,17973,2881877,56900,939696,22162,29609,52540,11254,77656,657837,29616,161665,35258,169435,209349,402909,986728,25609,14558,27934,1048623,20643,19499,12816,29785,3307541,21894,164359,569902,12482,1778378,104837,10596,176293,93682,2228,7022,8234,400148,638868,24227,3678,4644,18535,2462,60488,94201,551847,7605,22931,60488,6876,94201,551847,7605,22931
29,CML312,419106,23083,35824,13670,340349,41727,23620,13893,87700,12943,5311,60131,126309,60771,276850,7284,10863,103149,836448,43024,6619,85427,5284,23590,120398,170573,13625,81876,64717,179241,319681,107000,27666,130265,1665914,786550,26231,243205,1226675,45371,23408,50130,115521,39083,42568,320048,29908,20359,49263,34528,32794,41662,68366,12153,851929,4518583,60555,16553,144805,43198,755152,686050,713075,2907819,19333,3790783,79391,1113009,27739,37798,70343,8497,45149,671304,23460,160681,29678,140025,202224,350615,964658,22655,4559,19185,741660,30876,15243,15581,23969,2282724,17277,149304,563743,10270,1375643,89673,5579,166009,24176,4288,8154,3935,224408,396565,5304,3393,5531,11464,2026,54149,71709,546945,1499,18473,54149,4882,71709,546945,1499,18473
