gene_name
AC217811.3_FG002
GRMZM2G100652
GRMZM2G100766
GRMZM2G050641
GRMZM2G481755
GRMZM2G154366
GRMZM2G058149
GRMZM2G037104
GRMZM2G159890
GRMZM5G831474
GRMZM2G353444
GRMZM2G117064
GRMZM2G309152
GRMZM2G460078
GRMZM2G042295
GRMZM2G427729
AC234154.1_FG008
GRMZM2G034276
GRMZM2G050658
GRMZM2G072578
GRMZM2G124759
GRMZM5G836977
GRMZM2G100333
GRMZM2G027043
GRMZM2G030223
GRMZM2G033820
GRMZM2G042897
GRMZM2G045970
GRMZM2G064590
GRMZM2G067764
GRMZM2G083195
GRMZM2G095763
GRMZM2G099481
GRMZM2G114036
GRMZM2G118286
GRMZM2G133943
GRMZM2G135027
GRMZM2G152127
GRMZM2G153672
GRMZM2G158008
GRMZM2G177150
GRMZM2G062416
GRMZM2G452529
GRMZM2G110646
GRMZM5G861300
GRMZM2G098596
GRMZM5G893603
GRMZM2G045294
GRMZM2G055320
GRMZM2G002043
GRMZM2G034271
GRMZM2G079109
GRMZM2G095757
GRMZM2G108912
GRMZM2G124313
GRMZM2G160452
GRMZM2G326734
GRMZM5G863550
GRMZM2G079236
GRMZM2G131378
GRMZM2G414047
GRMZM5G878139
AC194158.3_FG005
GRMZM2G000652
GRMZM2G061568
GRMZM2G061885
GRMZM2G078114
GRMZM2G098667
GRMZM2G104847
GRMZM2G117153
GRMZM2G119079
GRMZM2G122943
GRMZM2G124042
GRMZM2G129344
GRMZM2G156729
GRMZM2G169089
GRMZM2G174511
GRMZM2G174860
GRMZM2G175453
GRMZM2G347836
GRMZM5G825110
GRMZM5G874840
GRMZM2G019029
GRMZM2G024144
GRMZM2G059381
GRMZM2G059637
GRMZM2G107629
GRMZM2G447433
AC231411.1_FG011
AC233887.1_FG006
AC233916.1_FG002
GRMZM2G001814
GRMZM2G002135
GRMZM2G002993
GRMZM2G005052
GRMZM2G007157
GRMZM2G014303
GRMZM2G014981
GRMZM2G015126
GRMZM2G020320
GRMZM2G021106
GRMZM2G021807
GRMZM2G024615
GRMZM2G029756
GRMZM2G031435
GRMZM2G032143
GRMZM2G033767
GRMZM2G034697
GRMZM2G040613
GRMZM2G042356
GRMZM2G043340
GRMZM2G048470
GRMZM2G049190
GRMZM2G051288
GRMZM2G053322
GRMZM2G053711
GRMZM2G054559
GRMZM2G058414
GRMZM2G059445
GRMZM2G060886
GRMZM2G061969
GRMZM2G062377
GRMZM2G065203
GRMZM2G066485
GRMZM2G070304
GRMZM2G072298
GRMZM2G075295
GRMZM2G077187
GRMZM2G077375
GRMZM2G080940
GRMZM2G085926
GRMZM2G087146
GRMZM2G087850
GRMZM2G091956
GRMZM2G092588
GRMZM2G096831
GRMZM2G097704
GRMZM2G101875
GRMZM2G103281
GRMZM2G105362
GRMZM2G107838
GRMZM2G109967
GRMZM2G110287
GRMZM2G110834
GRMZM2G111319
GRMZM2G114778
GRMZM2G115612
GRMZM2G117378
GRMZM2G117627
GRMZM2G122296
GRMZM2G123764
GRMZM2G123987
GRMZM2G124921
GRMZM2G125083
GRMZM2G130749
GRMZM2G130864
GRMZM2G132898
GRMZM2G133885
GRMZM2G140811
GRMZM2G141320
GRMZM2G142873
GRMZM2G145179
GRMZM2G147917
GRMZM2G154523
GRMZM2G154687
GRMZM2G155357
GRMZM2G159125
GRMZM2G165681
GRMZM2G166176
GRMZM2G166971
GRMZM2G170400
GRMZM2G171229
GRMZM2G174343
GRMZM2G178892
GRMZM2G179792
GRMZM2G305809
GRMZM2G312438
GRMZM2G321290
GRMZM2G331720
GRMZM2G339336
GRMZM2G349603
GRMZM2G349749
GRMZM2G350658
GRMZM2G359904
GRMZM2G368610
GRMZM2G406951
GRMZM2G414278
GRMZM2G425249
GRMZM2G426556
GRMZM2G447876
GRMZM2G451314
GRMZM2G451672
GRMZM2G466281
GRMZM2G469409
GRMZM2G471240
GRMZM2G477340
GRMZM2G477503
GRMZM2G483624
GRMZM2G701058
GRMZM5G804759
GRMZM5G812228
GRMZM5G812425
GRMZM5G814389
GRMZM5G817559
GRMZM5G818106
GRMZM5G818213
GRMZM5G832114
GRMZM5G847599
GRMZM5G865811
GRMZM5G865943
GRMZM6G781015
